dayofyear,pr
1952-05-22,0.0063922973
1952-05-23,0.004634335
1952-05-24,0.27472338
1952-05-25,0.8129404
1952-05-26,0.25595647
1952-05-27,0.005620858
1952-05-28,0.005276168
1952-05-29,0.0068494068
1952-05-30,0.030041346
1952-05-31,0.029083965
1952-06-01,0.013153334
1952-06-02,0.0075048856
1952-06-03,0.021805342
1952-06-04,0.052850712
1952-06-05,0.01832459
1952-06-06,0.05165003
1952-06-07,0.012647321
1952-06-08,0.051107306
1952-06-09,0.123388655
1952-06-10,0.55316806
1952-06-11,0.13384235
1952-06-12,0.06896238
1952-06-13,0.2606445
1952-06-14,0.024509681
1952-06-15,0.18526013
1952-06-16,0.062020987
1952-06-17,0.03591657
1952-06-18,0.0076138563
1952-06-19,0.009423308
1952-06-20,0.035402305
1952-06-21,0.13167855
1952-06-22,0.018223114
1952-06-23,0.028022323
1952-06-24,0.022330558
1952-06-25,0.025440684
1952-06-26,0.017375652
1952-06-27,0.011165952
1952-06-28,0.013136592
1952-06-29,0.027997198
1952-06-30,0.024365023
1952-07-01,0.107428126
1952-07-02,0.507612
1952-07-03,0.20005144
1952-07-04,0.32193023
1952-07-05,0.0142914625
1952-07-06,0.013545724
1952-07-07,0.00054639654
1952-07-08,0.0022600193
1952-07-09,1.929424
1952-07-10,0.22277302
1952-07-11,0.008323353
1952-07-12,0.069410294
1952-07-13,0.22667243
1952-07-14,1.9287405
1952-07-15,0.5165481
1952-07-16,0.793095
1952-07-17,0.20477921
1952-07-18,0.53039885
1952-07-19,0.28753665
1952-07-20,0.003615788
1952-07-21,0.011823239
1952-07-22,0.33316967
1952-07-23,0.7009095
1952-07-24,1.6880865
1952-07-25,1.0806248
1952-07-26,0.08886999
1952-07-27,0.084869914
1952-07-28,0.04961879
1952-07-29,0.01441559
1952-07-30,0.012866938
1952-07-31,0.60267997
1952-08-01,2.588512
1952-08-02,1.6045144
1952-08-03,1.2329149
1952-08-04,0.6592311
1952-08-05,0.66358477
1952-08-06,0.3549601
1952-08-07,0.043261178
1952-08-08,0.22725482
1952-08-09,0.014594121
1952-08-10,0.090390034
1952-08-11,0.60467196
1952-08-12,3.4405413
1952-08-13,0.24114528
1952-08-14,0.041673075
1952-08-15,0.03883899
1952-08-16,0.41684076
1952-08-17,0.22651467
1952-08-18,0.5543088
1952-08-19,0.5296373
1952-08-20,0.3755928
1952-08-21,0.0057510044
1952-08-22,0.0052064816
1952-08-23,0.11715266
1952-08-24,0.5028694
1952-08-25,0.1954219
1952-08-26,0.006557375
1952-08-27,0.26844063
1952-08-28,0.59926087
1952-08-29,1.0322605
1952-08-30,1.8018336
1952-08-31,0.62344205
1952-09-01,0.48550272
1952-09-02,0.2886437
1952-09-03,0.85091025
1952-09-04,0.3836282
1952-09-05,2.5316849
1952-09-06,1.1866097
1952-09-07,4.5531054
1952-09-08,2.4262552
1952-09-09,0.08146653
1952-09-10,1.6342323
1952-09-11,2.8593388
1952-09-12,0.94909614
1952-09-13,1.5216633
1952-09-14,0.6205907
1952-09-15,0.019221867
1952-09-16,0.8602294
1952-09-17,0.627668
1952-09-18,0.041020166
1952-09-19,0.0024932818
1952-09-20,0.003991995
1952-09-21,0.0017116446
1952-09-22,0.018768815
1952-09-23,0.009324811
1952-09-24,0.44444904
1952-09-25,0.22819023
1952-09-26,0.3098537
1952-09-27,0.16021392
1952-09-28,0.5183824
1952-09-29,1.7347939
1952-09-30,0.04386735
1952-10-01,0.09434184
1952-10-02,0.025369197
1952-10-03,0.009225756
1952-10-04,0.21721812
1952-10-05,0.29449645
1952-10-06,1.1562201
1952-10-07,1.0172429
1952-10-08,4.146891
1952-10-09,13.753847
1952-10-10,13.090804
1952-10-11,10.146227
1952-10-12,8.240667
1952-10-13,4.5351343
1952-10-14,1.1914842
1952-10-15,0.02358272
1952-10-16,1.6504691
1952-10-17,0.2451536
1952-10-18,0.18184254
1952-10-19,0.0455737
1952-10-20,0.035912324
1952-10-21,0.008947758
1952-10-22,0.0050446033
1952-10-23,0.06351437
1952-10-24,0.46835348
1952-10-25,0.46373793
1952-10-26,4.878884
1952-10-27,0.07469498
1952-10-28,0.99851114
1952-10-29,0.009124528
1952-10-30,0.01353744
1952-10-31,0.031077182
