subcatchment ,perc_greenroof,time,runoff_cfs
Subcatchment 60,50_perc,3.15,0
Subcatchment 60,50_perc,3.3,0
Subcatchment 60,50_perc,3.45,0
Subcatchment 60,50_perc,4,0
Subcatchment 60,50_perc,4.15,0
Subcatchment 60,50_perc,4.3,0
Subcatchment 60,50_perc,4.45,0
Subcatchment 60,50_perc,5,0
Subcatchment 60,50_perc,5.15,1.42
Subcatchment 60,50_perc,5.3,1.91
Subcatchment 60,50_perc,5.45,3.04
Subcatchment 60,50_perc,6,2.65
Subcatchment 60,50_perc,6.15,0.92
Subcatchment 60,50_perc,6.3,0.83
Subcatchment 60,50_perc,6.45,0.09
Subcatchment 60,50_perc,7,0.77
Subcatchment 60,50_perc,7.15,0.16
Subcatchment 60,50_perc,7.3,0.09
Subcatchment 60,50_perc,7.45,0.05
Subcatchment 60,50_perc,8,0.03
Subcatchment 60,50_perc,8.15,0.02
Subcatchment 60,50_perc,8.3,0.02
Subcatchment 60,50_perc,8.45,0.01
Subcatchment 60,50_perc,9,0.6
Subcatchment 60,50_perc,9.15,0.7
Subcatchment 60,50_perc,9.3,0.06
Subcatchment 60,50_perc,9.45,0.01
Subcatchment 60,50_perc,10,0.64
Subcatchment 60,50_perc,10.15,0.84
Subcatchment 60,50_perc,10.3,0.19
Subcatchment 60,50_perc,10.45,0.1
Subcatchment 60,50_perc,11,1.37
Subcatchment 67,0_perc,0.15,0
Subcatchment 67,0_perc,0.3,0
Subcatchment 67,0_perc,0.45,0
Subcatchment 67,0_perc,1,0
Subcatchment 67,0_perc,1.15,0
Subcatchment 67,0_perc,1.3,0
Subcatchment 67,0_perc,1.45,0
Subcatchment 67,0_perc,2,0
Subcatchment 67,0_perc,2.15,0
Subcatchment 67,0_perc,2.3,0
Subcatchment 67,0_perc,2.45,0
Subcatchment 67,0_perc,3,0
Subcatchment 67,0_perc,3.15,0
Subcatchment 67,0_perc,3.3,0
Subcatchment 67,0_perc,3.45,0
Subcatchment 67,0_perc,4,0
Subcatchment 67,0_perc,4.15,0
Subcatchment 67,0_perc,4.3,0
Subcatchment 67,0_perc,4.45,0
Subcatchment 67,0_perc,5,0
Subcatchment 67,0_perc,5.15,5.45
Subcatchment 67,0_perc,5.3,9.05
Subcatchment 67,0_perc,5.45,13.9
Subcatchment 67,0_perc,6,10.42
Subcatchment 67,0_perc,6.15,3.6
Subcatchment 67,0_perc,6.3,3.17
Subcatchment 67,0_perc,6.45,0.76
Subcatchment 67,0_perc,7,2.67
Subcatchment 67,0_perc,7.15,0.81
Subcatchment 67,0_perc,7.3,0.42
Subcatchment 67,0_perc,7.45,0.27
Subcatchment 67,0_perc,8,0.18
Subcatchment 67,0_perc,8.15,0.13
Subcatchment 67,0_perc,8.3,0.1
Subcatchment 67,0_perc,8.45,0.08
Subcatchment 67,0_perc,9,2.06
Subcatchment 67,0_perc,9.15,2.65
Subcatchment 67,0_perc,9.3,0.57
Subcatchment 67,0_perc,9.45,0.19
Subcatchment 67,0_perc,10,2.25
Subcatchment 67,0_perc,10.15,2.91
Subcatchment 67,0_perc,10.3,0.83
Subcatchment 67,0_perc,10.45,0.43
Subcatchment 67,0_perc,11,4.98
Subcatchment 67,20_perc,0.15,0
Subcatchment 67,20_perc,0.3,0
Subcatchment 67,20_perc,0.45,0
Subcatchment 67,20_perc,1,0
Subcatchment 67,20_perc,1.15,0
Subcatchment 67,20_perc,1.3,0
Subcatchment 67,20_perc,1.45,0
Subcatchment 67,20_perc,2,0
Subcatchment 67,20_perc,2.15,0
Subcatchment 67,20_perc,2.3,0
Subcatchment 67,20_perc,2.45,0
Subcatchment 67,20_perc,3,0
Subcatchment 67,20_perc,3.15,0
Subcatchment 67,20_perc,3.3,0
Subcatchment 67,20_perc,3.45,0
Subcatchment 67,20_perc,4,0
Subcatchment 67,20_perc,4.15,0
Subcatchment 67,20_perc,4.3,0
Subcatchment 67,20_perc,4.45,0
Subcatchment 67,20_perc,5,0
Subcatchment 67,20_perc,5.15,4.87
Subcatchment 67,20_perc,5.3,7.7
Subcatchment 67,20_perc,5.45,11.85
Subcatchment 67,20_perc,6,9.06
Subcatchment 67,20_perc,6.15,3.21
Subcatchment 67,20_perc,6.3,2.88
Subcatchment 67,20_perc,6.45,0.7
Subcatchment 67,20_perc,7,2.47
Subcatchment 67,20_perc,7.15,0.76
Subcatchment 67,20_perc,7.3,0.42
Subcatchment 67,20_perc,7.45,0.28
Subcatchment 67,20_perc,8,0.2
Subcatchment 67,20_perc,8.15,0.15
Subcatchment 67,20_perc,8.3,0.11
Subcatchment 67,20_perc,8.45,0.09
Subcatchment 67,20_perc,9,1.88
Subcatchment 67,20_perc,9.15,2.36
Subcatchment 67,20_perc,9.3,0.49
Subcatchment 67,20_perc,9.45,0.15
Subcatchment 67,20_perc,10,2.04
Subcatchment 67,20_perc,10.15,2.63
Subcatchment 67,20_perc,10.3,0.77
Subcatchment 67,20_perc,10.45,0.42
Subcatchment 67,20_perc,11,4.49
Subcatchment 67,30_perc,0.15,0
Subcatchment 67,30_perc,0.3,0
Subcatchment 67,30_perc,0.45,0
Subcatchment 67,30_perc,1,0
Subcatchment 67,30_perc,1.15,0
Subcatchment 67,30_perc,1.3,0
Subcatchment 67,30_perc,1.45,0
Subcatchment 67,30_perc,2,0
Subcatchment 67,30_perc,2.15,0
Subcatchment 67,30_perc,2.3,0
Subcatchment 67,30_perc,2.45,0
Subcatchment 67,30_perc,3,0
Subcatchment 67,30_perc,3.15,0
Subcatchment 67,30_perc,3.3,0
Subcatchment 67,30_perc,3.45,0
Subcatchment 67,30_perc,4,0
Subcatchment 67,30_perc,4.15,0
Subcatchment 67,30_perc,4.3,0
Subcatchment 67,30_perc,4.45,0
